MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,ethnicity
405071018,9SAB,9SAB.00,Turkish/Turkish Cypriot (NMO),270467002,405071018,22,Mixed/Other
411581014,9SA4-1,9SA4.11,North African Arab (NMO),275594002,411581014,22,Mixed/Other
411582019,9SA4-2,9SA4.12,Iranian (NMO),275595001,411582019,22,Mixed/Other
411594011,9SAA-1,9SAA.11,Greek (NMO),275599007,411594011,22,Mixed/Other
411595012,9SAA-2,9SAA.12,Greek Cypriot (NMO),275600005,411595012,22,Mixed/Other
411596013,9SAB-1,9SAB.11,Turkish (NMO),275601009,411596013,22,Mixed/Other
411597016,9SAB-2,9SAB.12,Turkish Cypriot (NMO),275602002,411597016,22,Mixed/Other
456650013,9SC,9SC..00,Vietnamese,312859007,456650013,22,Mixed/Other
459785017,9SJ,9SJ..00,Ethnic group,372148003,1210724015,22,Mixed/Other
501416013,9T19,9T19.00,Fijian,69865008,501416013,22,Mixed/Other
1968301000006118,9T16,9T16.00,Tongan,81560001,504723011,22,Mixed/Other
1968281000006117,9T14,9T14.00,Samoan,86275006,507015012,22,Mixed/Other
523591000000116,9T3,9T3..00,Yemeni,2.97E+14,5.24E+14,22,Mixed/Other
550541000006110,9T1C,9T1C.00,Chinese,33897005,56590016,22,Mixed/Other
1968161000006115,9t0B,9t0B.00,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Mixed/Other
1968211000006112,9t0G,9t0G.00,Other ethnic group: Arab - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Mixed/Other
1968221000006116,9t0H,9t0H.00,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,9.77E+14,2.49E+15,22,Mixed/Other
501416013,9t19,9t19.00,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Mixed/Other
286020010,9t1E,9t1E.00,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Mixed/Other
1968391000006113,9t1F,9t1F.00,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Mixed/Other
